"Local de trabalho","Pontuação teste","Departmento","Distancia casa-trabalho","Educacao","Area","Possui carro","Subordinado","Satisfação com o ambiente no emprego atual","Horas voluntariado","Envolvimento com trabalho","Posicao","Cargo","Satisfação com emprego","Renda","Bonus de performance","Quantidade de empresas que trabalho","Maior de idade","Necessita de hora extra","Aumento de salario%","Performance na entrevista","Satisfação com a relação","Horas de trabalho padrão","Beneficios","Anos de experiencia","Horas de treinamento ultimo ano","Estilo de vida","Anos na última empresa","Anos na posição atual","Anos desde última promoção","Anos com a mesma gerência","ADDED_COLUMN_1","$R-Contratar","$RC-Contratar"
"Misto","444","Vendas","2","Superior incompleto","Marketing","1","1986","2","92","3","2","Vendedo senior","2","5677","4258","3","1","Não","14","3","3","80","1","15","4","3","11","8","5","10",,"Não","0.846284"
"Misto","309","RH","2","Superior completo","Ciências humanas","1","1987","3","82","3","1","Assistente","2","2187","19655","4","1","Não","14","3","3","80","0","6","3","3","2","0","1","2",,"Sim","0.953569"
"Misto","911","Engenharia","1","Superior incompleto","Medicina","1","1989","4","76","3","1","Tecnico","2","3748","4077","1","1","Não","13","3","3","80","0","12","6","2","12","8","1","7",,"Não","0.921638"
"Misto","977","Engenharia","2","Médio completo","Outros","1","1992","4","57","3","1","Tecnico","3","3977","7298","6","1","Sim","19","3","3","80","1","7","2","2","2","2","0","2",,"Sim","0.702599"
"Escritório","1180","Engenharia","25","Superior completo","Medicina","1","1993","1","84","3","3","Analista","3","8633","13084","2","1","Não","23","4","2","80","0","25","3","3","17","14","12","11",,"Não","0.777924"
"Misto","1313","Engenharia","1","Superior incompleto","Medicina","1","1994","2","59","2","1","Tecnico","3","2008","20439","1","1","Não","12","3","3","80","3","1","2","2","1","1","0","0",,"Não","0.915592"
"Misto","1321","Vendas","1","Superior incompleto - cursando","Ciências das natureza","1","1995","4","86","3","2","Vendedo senior","2","4440","7636","0","1","Não","15","3","1","80","2","16","3","3","15","13","5","8",,"Não","0.990071"
"Cliente","1154","Vendas","2","Superior incompleto","Ciências das natureza","1","1996","1","54","3","1","Vendedor junior","3","3067","6393","0","1","Não","19","3","3","80","1","3","1","3","2","2","1","2",,"Sim","0.86066"
"Misto","508","Engenharia","6","Superior incompleto - cursando","Ciências das natureza","1","1997","1","72","2","2","Supervisor","3","5321","14284","2","1","Não","11","3","4","80","1","10","1","3","8","3","7","7",,"Sim","0.805707"
"Misto","557","Engenharia","18","Superior incompleto - cursando","Ciências das natureza","1","1998","4","35","3","2","Engenheiro","1","5410","11189","6","1","Sim","17","3","3","80","1","9","3","2","4","3","1","2",,"Não","0.520078"
"Escritório","642","Engenharia","1","Superior completo","Ciências das natureza","1","1999","4","76","3","1","Engenheiro","4","2782","21412","3","1","Não","22","4","1","80","1","12","3","3","5","3","1","0",,"Não","0.991222"
"Misto","1162","Engenharia","1","Médio completo","Medicina","1","2000","3","98","3","3","Diretor","2","11957","17231","0","1","Não","18","3","1","80","2","14","3","1","13","8","5","12",,"Não","0.748259"
"Misto","1490","Engenharia","11","Superior incompleto - cursando","Medicina","1","2003","4","43","3","1","Tecnico","3","2660","20232","7","1","Sim","11","3","3","80","1","5","3","3","2","2","2","2",,"Sim","0.568653"
"Misto","581","Engenharia","1","Superior incompleto","Ciências das natureza","1","2007","4","63","3","1","Engenheiro","3","3375","17624","0","1","Não","12","3","4","80","0","4","2","4","3","2","1","2",,"Não","0.511797"
"Misto","1395","Engenharia","9","Superior incompleto - cursando","Medicina","1","2008","2","48","3","2","Engenheiro","3","5098","18698","1","1","Não","19","3","2","80","0","10","5","3","10","7","0","8",,"Não","0.991721"
"Misto","501","Engenharia","15","Superior incompleto","Medicina","1","2009","2","95","3","2","Analista","4","4878","21653","0","1","Sim","13","3","1","80","1","10","6","3","9","7","8","1",,"Não","0.770121"
"Misto","267","Engenharia","29","Superior incompleto - cursando","Ciências das natureza","1","2010","3","49","2","1","Tecnico","2","2837","15919","1","1","Não","13","3","3","80","0","6","3","3","6","2","4","1",,"Sim","0.943596"
"Misto","543","Engenharia","1","Superior incompleto - cursando","Ciências das natureza","1","2012","1","83","3","1","Tecnico","4","2406","4060","8","1","Não","19","3","3","80","2","8","3","2","1","0","0","0",,"Sim","0.70734"
"Misto","234","Vendas","1","Superior incompleto - cursando","Medicina","1","2013","2","68","2","1","Vendedor junior","2","2269","18024","0","1","Não","14","3","2","80","1","3","2","3","2","2","2","2",,"Sim","0.625967"
"Misto","116","Engenharia","24","Médio completo","Ciências das natureza","1","2014","1","52","3","2","Engenheiro","4","4108","5340","7","1","Não","13","3","1","80","0","18","2","3","7","7","1","7",,"Não","0.644181"
"Misto","201","Engenharia","10","Superior completo","Medicina","1","2015","2","99","1","3","Diretor","3","13206","3376","3","1","Não","12","3","1","80","1","20","3","3","18","16","1","11",,"Não","0.99021"
"Misto","801","Vendas","1","Superior incompleto - cursando","Marketing","1","2016","3","48","3","3","Vendedo senior","4","10422","24032","1","1","Não","19","3","3","80","2","14","3","3","14","10","5","7",,"Não","0.985"
"Misto","161","Engenharia","10","Superior completo","Ciências das natureza","1","2017","3","42","4","3","Diretor","4","13744","15471","1","1","Sim","25","4","1","80","1","16","2","3","16","11","6","8",,"Não","0.981733"
"Escritório","1382","Vendas","8","Superior incompleto","Outros","1","2018","1","85","3","2","Vendedo senior","3","4907","13684","0","1","Sim","22","4","2","80","1","6","3","2","5","3","0","4",,"Não","0.869601"
"Misto","585","Vendas","29","Superior incompleto - cursando","Ciências das natureza","1","2019","1","40","3","1","Vendedor junior","4","3482","19788","2","1","Não","15","3","2","80","2","16","3","2","9","8","0","0",,"Não","0.852939"
"Misto","1037","Engenharia","1","Superior completo","Medicina","1","2020","2","42","3","1","Engenheiro","4","2436","13422","6","1","Sim","12","3","3","80","0","6","2","3","4","3","1","2",,"Sim","0.531113"
"Escritório","501","Vendas","5","Médio completo","Medicina","1","2021","3","58","3","1","Vendedor junior","1","2380","25479","1","1","Sim","11","3","4","80","0","2","6","3","2","2","1","2",,"Sim","0.851666"
"Misto","105","Engenharia","9","Superior completo","Ciências das natureza","1","2022","4","87","3","5","Gerente","4","19431","15302","2","1","Não","13","3","3","80","0","21","3","2","6","0","1","3",,"Não","0.94336"
"Cliente","557","Vendas","3","Superior completo","Medicina","1","2024","1","94","2","3","Vendedo senior","4","7644","12695","0","1","Não","19","3","3","80","2","10","2","3","9","7","3","4",,"Não","0.993645"
"Escritório","688","Engenharia","4","Superior incompleto","Ciências das natureza","1","2025","4","97","3","2","Supervisor","2","5131","9192","7","1","Não","13","3","2","80","3","18","3","3","4","2","0","2",,"Não","0.922501"
"Misto","667","Engenharia","1","Superior incompleto - cursando","Ciências das natureza","1","2026","3","57","3","2","Analista","3","6306","26236","1","1","Não","21","4","1","80","1","13","2","2","13","12","1","9",,"Não","0.997181"
"Misto","300","Engenharia","2","Superior completo","Ciências das natureza","1","2031","1","56","3","5","Gerente","3","18880","17312","5","1","Não","11","3","1","80","0","24","2","2","22","6","4","14",,"Não","0.66497"
"Misto","582","Engenharia","28","Superior incompleto - cursando","Ciências das natureza","1","2034","1","60","2","4","Supervisor","2","13570","5640","0","1","Não","23","4","3","80","1","21","3","3","20","7","0","10",,"Não","0.971985"
"Escritório","704","Vendas","28","Superior completo","Marketing","1","2035","4","95","2","2","Vendedo senior","3","6712","8978","1","1","Não","21","4","4","80","2","8","2","3","8","7","1","7",,"Não","0.931853"
"Misto","301","Vendas","15","Superior incompleto - cursando","Marketing","1","2036","4","88","1","2","Vendedo senior","4","5406","10436","1","1","Não","24","4","1","80","1","15","4","2","15","12","11","11",,"Não","0.843815"
"Misto","930","Vendas","3","Superior completo","Ciências das natureza","1","2037","3","57","2","2","Vendedo senior","2","8938","12227","2","1","Não","11","3","3","80","1","14","5","3","5","4","0","4",,"Não","0.995098"
"Misto","529","Engenharia","2","Superior completo","Faculdade Técnica","1","2038","4","78","3","1","Engenheiro","1","2439","11288","1","1","Não","14","3","4","80","0","4","4","3","4","2","1","2",,"Sim","0.582513"
"Misto","1146","RH","26","Superior incompleto - cursando","Ciências das natureza","1","2040","3","31","3","3","Assistente","4","8837","16642","1","1","Sim","16","3","3","80","0","9","2","3","9","0","1","7",,"Não","0.746567"
